ID,Sub-ID,Discoverer,Date discovered,Solution
48,13,Corina Miner,2014-02-19,1111131b3333bbb5553bb66975556666990a777744499000aaa8744492020aa888882222
48,14,Corina Miner,2014-02-19,111113163333b665553bb6697555bbb6990a777744499000aaa8744492020aa888882222
48,15,Corina Miner,2014-02-19,1111131b3333bbb5553bb66975556666992a777744499222aaa8744490022aa888880000
48,16,Corina Miner,2014-02-19,111113163333b665553bb6697555bbb6992a777744499222aaa8744490022aa888880000
48,17,Corina Miner,2014-02-19,5553555033330001311202097111222299ba777744499bbbaaa874449bb66aa888886666
48,18,Corina Miner,2014-02-19,55535550333300013112020971112222996a777744499b66aaa874449bb66aa88888bbb6
48,19,Corina Miner,2014-02-19,5553555233332221311002297111000099ba777744499bbbaaa874449bb66aa888886666
48,20,Corina Miner,2014-02-19,55535552333322213110022971110000996a777744499b66aaa874449bb66aa88888bbb6
48,21,Corina Miner,2014-02-19,5553555b3333bbb1311bb66971116666990a777744499000aaa8744492020aa888882222
48,22,Corina Miner,2014-02-19,555355563333b661311bb6697111bbb6990a777744499000aaa8744492020aa888882222
48,23,Corina Miner,2014-02-19,5553555b3333bbb1311bb66971116666992a777744499222aaa8744490022aa888880000
48,24,Corina Miner,2014-02-19,555355563333b661311bb6697111bbb6992a777744499222aaa8744490022aa888880000
48,25,Corina Miner,2014-02-19,5553555013330001133202097111222299ba777744499bbbaaa874449bb66aa888886666
48,26,Corina Miner,2014-02-19,55535550133300011332020971112222996a777744499b66aaa874449bb66aa88888bbb6
48,27,Corina Miner,2014-02-19,5553555213332221133002297111000099ba777744499bbbaaa874449bb66aa888886666
48,28,Corina Miner,2014-02-19,55535552133322211330022971110000996a777744499b66aaa874449bb66aa88888bbb6
48,29,Corina Miner,2014-02-19,5553555b1333bbb1133bb66971116666990a777744499000aaa8744492020aa888882222
48,30,Corina Miner,2014-02-19,555355561333b661133bb6697111bbb6990a777744499000aaa8744492020aa888882222
48,31,Corina Miner,2014-02-19,5553555b1333bbb1133bb66971116666992a777744499222aaa8744490022aa888880000
48,32,Corina Miner,2014-02-19,555355561333b661133bb6697111bbb6992a777744499222aaa8744490022aa888880000
48,33,Corina Miner,2018-07-27,2223322233311115553001197555000099ba777744499bbbaaa874449bb66aa888886666
48,34,Corina Miner,2018-07-27,22233222333111155530011975550000996a777744499b66aaa874449bb66aa88888bbb6
48,35,Corina Miner,2018-07-27,5553555033330002321101097222211199ba777744499bbbaaa874449bb66aa888886666
48,36,Corina Miner,2018-07-27,55535550333300023211010972222111996a777744499b66aaa874449bb66aa88888bbb6
48,37,Corina Miner,2018-09-14,111331193331b995553bb6997555bbb6690a777744466000aaa8744462020aa888882222
48,38,Corina Miner,2018-09-14,111331193331b995553bb6997555bbb6692a777744466222aaa8744460022aa888880000
48,39,Corina Miner,2018-09-14,111113193333b995553bb6997555bbb6690a777744466000aaa8744462020aa888882222
48,40,Corina Miner,2018-09-14,111113193333b995553bb6997555bbb6692a777744466222aaa8744460022aa888880000
